effective_date,year,review_type,granularity,customer_category,band,measure,value,unit,pct_change,source_type,source,notes
2001-05-01,2001,Ad hoc,narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",Electricity tariffs adjusted (part of post-1997 stabilisation; exact % not archived).
2002-07-01,2002,Policy,narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","PURC develops Transitional Adjustment Plan for Electricity Rate Adjustment, 2001-2004; key component is the future Automatic Adjustment Formula (AAF)."
2002-08-01,2002,Policy,narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","Government of Ghana introduces the Lifeline tariff subsidy for residential customers consuming 0-50 kWh/month, aligned with the Ghana Poverty Reduction Strategy."
2003-01-01,2003,Policy,narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","Automatic Adjustment Formula (AAF) enacted, enabling quarterly tariff reviews for exchange rate, fuel cost and inflation changes."
2003-10-01,2003,AAF,narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",First application of the AAF takes effect.
2003-11-01,2003,No change (start),narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","Start of an extended no-major-adjustment period: stable Cedi-USD exchange rate, good hydro generation, and stable crude oil prices meant no major tariff review was needed until April 2006."
2006-04-01,2006,Major (increase),narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","AAF discontinued for Q2 2006; PURC approves a major tariff review with an average increase of approximately 35% for both electricity and water, after utilities were invited to submit proposals directly rather than via the formula."
2007-11-01,2007,Major (increase),narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",PURC grants ECG a tariff increase (magnitude not found in public sources); reflected in ECG's 2008 revenue nearly doubling from 2007.
2009-11-01,2009,Proposal,narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","ECG, VRA, GRIDCo and Ghana Water Company submit proposals to PURC for a major upward tariff review, citing rising costs."
2010-06-01,2010,Major,blended_average,Non-Residential,all bands (blended),GHp/kWh,33.333,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",Re-introduction of AAF during a major review; +89% average increase (largest single increase in the period).
2010-06-01,2010,Major,blended_average,Residential,all bands (blended),GHp/kWh,17.625,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",Re-introduction of AAF during a major review; +89% average increase (largest single increase in the period).
2010-06-01,2010,Major,blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,26.667,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",Re-introduction of AAF during a major review; +89% average increase (largest single increase in the period).
2011-03-01,2011,AAF (decrease),blended_average,Non-Residential,all bands (blended),GHp/kWh,27.579,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",AAF applied; -17.26% versus June 2010; lowest tariff point of the whole 2010-2020 series.
2011-03-01,2011,AAF (decrease),blended_average,Residential,all bands (blended),GHp/kWh,14.583,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",AAF applied; -17.26% versus June 2010; lowest tariff point of the whole 2010-2020 series.
2011-03-01,2011,AAF (decrease),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,22.064,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",AAF applied; -17.26% versus June 2010; lowest tariff point of the whole 2010-2020 series.
2011-09-01,2011,AAF (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,29.072,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+7% average increase.
2011-09-01,2011,AAF (increase),blended_average,Residential,all bands (blended),GHp/kWh,16.825,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+7% average increase.
2011-09-01,2011,AAF (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,23.034,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+7% average increase.
2011-12-01,2011,AAF (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,31.5311,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+3% average increase; also formalised as Gazette No. 15 (25 Feb 2011) AAF.
2011-12-01,2011,AAF (increase),blended_average,Residential,all bands (blended),GHp/kWh,18.8101,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+3% average increase; also formalised as Gazette No. 15 (25 Feb 2011) AAF.
2011-12-01,2011,AAF (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,23.8054,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+3% average increase; also formalised as Gazette No. 15 (25 Feb 2011) AAF.
2012-03-01,2012,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,31.5311,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2012 election year; no change across 3 reviews (Mar/Jun/Sep).
